1.59953e-04 2.96411e+02  -2.96408e+02 0.00000e+00 
1.60474e-04 3.00291e+02  -3.00288e+02 0.00000e+00 
1.60995e-04 3.04206e+02  -3.04203e+02 0.00000e+00 
1.61516e-04 3.08159e+02  -3.08156e+02 0.00000e+00 
1.62037e-04 3.12153e+02  -3.12150e+02 0.00000e+00 
1.62558e-04 3.16188e+02  -3.16184e+02 0.00000e+00 
1.63079e-04 3.20261e+02  -3.20258e+02 0.00000e+00 
1.63600e-04 3.24371e+02  -3.24368e+02 0.00000e+00 
1.64121e-04 3.28519e+02  -3.28516e+02 0.00000e+00 
1.64642e-04 3.32707e+02  -3.32703e+02 0.00000e+00 
1.65163e-04 3.36937e+02  -3.36934e+02 0.00000e+00 
1.65684e-04 3.41210e+02  -3.41206e+02 0.00000e+00 
1.66204e-04 3.45522e+02  -3.45518e+02 0.00000e+00 
1.66725e-04 3.49871e+02  -3.49868e+02 0.00000e+00 
1.67246e-04 3.54260e+02  -3.54257e+02 0.00000e+00 
1.67767e-04 3.58692e+02  -3.58689e+02 0.00000e+00 
1.68288e-04 3.63168e+02  -3.63165e+02 0.00000e+00 
1.68809e-04 3.67687e+02  -3.67684e+02 0.00000e+00 
1.69330e-04 3.72246e+02  -3.72243e+02 0.00000e+00 
1.69851e-04 3.76845e+02  -3.76841e+02 0.00000e+00 
1.70372e-04 3.81485e+02  -3.81482e+02 0.00000e+00 
1.70893e-04 3.86171e+02  -3.86167e+02 0.00000e+00 
1.71414e-04 3.90902e+02  -3.90899e+02 0.00000e+00 
1.71935e-04 3.95677e+02  -3.95673e+02 0.00000e+00 
1.72456e-04 4.00492e+02  -4.00488e+02 0.00000e+00 
1.72977e-04 4.05348e+02  -4.05345e+02 0.00000e+00 
1.73498e-04 4.10250e+02  -4.10246e+02 0.00000e+00 
1.74019e-04 4.15199e+02  -4.15195e+02 0.00000e+00 
1.74540e-04 4.20194e+02  -4.20191e+02 0.00000e+00 
1.75061e-04 4.25233e+02  -4.25230e+02 0.00000e+00 
1.75582e-04 4.30314e+02  -4.30310e+02 0.00000e+00 
1.76102e-04 4.35439e+02  -4.35435e+02 0.00000e+00 
1.76623e-04 4.40611e+02  -4.40607e+02 0.00000e+00 
1.77144e-04 4.45833e+02  -4.45829e+02 0.00000e+00 
1.77665e-04 4.51102e+02  -4.51098e+02 0.00000e+00 
1.78186e-04 4.56415e+02  -4.56411e+02 0.00000e+00 
1.78707e-04 4.61771e+02  -4.61767e+02 0.00000e+00 
1.79228e-04 4.67174e+02  -4.67170e+02 0.00000e+00 
1.79749e-04 4.72628e+02  -4.72624e+02 0.00000e+00 
1.80270e-04 4.78132e+02  -4.78128e+02 0.00000e+00 
1.80791e-04 4.83683e+02  -4.83679e+02 0.00000e+00 
