1.32863e-04 1.41114e+02  -1.41112e+02 0.00000e+00 
1.33384e-04 1.43340e+02  -1.43338e+02 0.00000e+00 
1.33905e-04 1.45591e+02  -1.45589e+02 0.00000e+00 
1.34426e-04 1.47869e+02  -1.47867e+02 0.00000e+00 
1.34947e-04 1.50174e+02  -1.50172e+02 0.00000e+00 
1.35468e-04 1.52507e+02  -1.52504e+02 0.00000e+00 
1.35989e-04 1.54866e+02  -1.54864e+02 0.00000e+00 
1.36510e-04 1.57253e+02  -1.57250e+02 0.00000e+00 
1.37031e-04 1.59665e+02  -1.59663e+02 0.00000e+00 
1.37552e-04 1.62106e+02  -1.62104e+02 0.00000e+00 
1.38073e-04 1.64576e+02  -1.64573e+02 0.00000e+00 
1.38594e-04 1.67074e+02  -1.67071e+02 0.00000e+00 
1.39115e-04 1.69600e+02  -1.69598e+02 0.00000e+00 
1.39635e-04 1.72154e+02  -1.72151e+02 0.00000e+00 
1.40156e-04 1.74736e+02  -1.74734e+02 0.00000e+00 
1.40677e-04 1.77348e+02  -1.77346e+02 0.00000e+00 
1.41198e-04 1.79989e+02  -1.79987e+02 0.00000e+00 
1.41719e-04 1.82660e+02  -1.82658e+02 0.00000e+00 
1.42240e-04 1.85360e+02  -1.85358e+02 0.00000e+00 
1.42761e-04 1.88090e+02  -1.88087e+02 0.00000e+00 
1.43282e-04 1.90849e+02  -1.90847e+02 0.00000e+00 
1.43803e-04 1.93639e+02  -1.93637e+02 0.00000e+00 
1.44324e-04 1.96460e+02  -1.96458e+02 0.00000e+00 
1.44845e-04 1.99312e+02  -1.99310e+02 0.00000e+00 
1.45366e-04 2.02194e+02  -2.02192e+02 0.00000e+00 
1.45887e-04 2.05107e+02  -2.05104e+02 0.00000e+00 
1.46408e-04 2.08051e+02  -2.08049e+02 0.00000e+00 
1.46929e-04 2.11028e+02  -2.11025e+02 0.00000e+00 
1.47450e-04 2.14037e+02  -2.14034e+02 0.00000e+00 
1.47971e-04 2.17077e+02  -2.17075e+02 0.00000e+00 
1.48492e-04 2.20150e+02  -2.20147e+02 0.00000e+00 
1.49013e-04 2.23254e+02  -2.23251e+02 0.00000e+00 
