1.50055e-04 4.59117e+02  -4.59111e+02 0.00000e+00 
1.50576e-04 4.65529e+02  -4.65524e+02 0.00000e+00 
1.51097e-04 4.72001e+02  -4.71995e+02 0.00000e+00 
1.51618e-04 4.78537e+02  -4.78531e+02 0.00000e+00 
1.52139e-04 4.85146e+02  -4.85140e+02 0.00000e+00 
1.52660e-04 4.91827e+02  -4.91821e+02 0.00000e+00 
1.53181e-04 4.98574e+02  -4.98568e+02 0.00000e+00 
1.53702e-04 5.05391e+02  -5.05385e+02 0.00000e+00 
1.54223e-04 5.12276e+02  -5.12270e+02 0.00000e+00 
1.54744e-04 5.19226e+02  -5.19221e+02 0.00000e+00 
1.55265e-04 5.26248e+02  -5.26242e+02 0.00000e+00 
1.55786e-04 5.33350e+02  -5.33344e+02 0.00000e+00 
1.56307e-04 5.40523e+02  -5.40517e+02 0.00000e+00 
1.56828e-04 5.47761e+02  -5.47755e+02 0.00000e+00 
1.57349e-04 5.55071e+02  -5.55065e+02 0.00000e+00 
1.57870e-04 5.62456e+02  -5.62450e+02 0.00000e+00 
1.58390e-04 5.69913e+02  -5.69907e+02 0.00000e+00 
1.58911e-04 5.77447e+02  -5.77440e+02 0.00000e+00 
1.59432e-04 5.85060e+02  -5.85054e+02 0.00000e+00 
1.59953e-04 5.92744e+02  -5.92738e+02 0.00000e+00 
1.60474e-04 6.00495e+02  -6.00489e+02 0.00000e+00 
1.60995e-04 6.08325e+02  -6.08319e+02 0.00000e+00 
1.61516e-04 6.16238e+02  -6.16231e+02 0.00000e+00 
1.62037e-04 6.24227e+02  -6.24221e+02 0.00000e+00 
1.62558e-04 6.32292e+02  -6.32286e+02 0.00000e+00 
1.63079e-04 6.40436e+02  -6.40430e+02 0.00000e+00 
1.63600e-04 6.48654e+02  -6.48648e+02 0.00000e+00 
1.64121e-04 6.56947e+02  -6.56940e+02 0.00000e+00 
1.64642e-04 6.65326e+02  -6.65319e+02 0.00000e+00 
1.65163e-04 6.73792e+02  -6.73785e+02 0.00000e+00 
1.65684e-04 6.82333e+02  -6.82326e+02 0.00000e+00 
1.66205e-04 6.90949e+02  -6.90942e+02 0.00000e+00 
1.66726e-04 6.99648e+02  -6.99641e+02 0.00000e+00 
1.67247e-04 7.08429e+02  -7.08422e+02 0.00000e+00 
1.67768e-04 7.17293e+02  -7.17286e+02 0.00000e+00 
1.68289e-04 7.26245e+02  -7.26238e+02 0.00000e+00 
1.68810e-04 7.35283e+02  -7.35276e+02 0.00000e+00 
1.69331e-04 7.44396e+02  -7.44389e+02 0.00000e+00 
1.69852e-04 7.53589e+02  -7.53582e+02 0.00000e+00 
1.70372e-04 7.62874e+02  -7.62867e+02 0.00000e+00 
1.70893e-04 7.72249e+02  -7.72241e+02 0.00000e+00 
1.71414e-04 7.81707e+02  -7.81699e+02 0.00000e+00 
1.71935e-04 7.91252e+02  -7.91245e+02 0.00000e+00 
1.72456e-04 8.00883e+02  -8.00876e+02 0.00000e+00 
1.72977e-04 8.10595e+02  -8.10588e+02 0.00000e+00 
1.73498e-04 8.20397e+02  -8.20389e+02 0.00000e+00 
1.74019e-04 8.30297e+02  -8.30289e+02 0.00000e+00 
1.74540e-04 8.40287e+02  -8.40280e+02 0.00000e+00 
1.75061e-04 8.50359e+02  -8.50352e+02 0.00000e+00 
1.75582e-04 8.60520e+02  -8.60512e+02 0.00000e+00 
1.76103e-04 8.70773e+02  -8.70766e+02 0.00000e+00 
1.76624e-04 8.81117e+02  -8.81110e+02 0.00000e+00 
1.77145e-04 8.91556e+02  -8.91548e+02 0.00000e+00 
1.77666e-04 9.02094e+02  -9.02086e+02 0.00000e+00 
1.78187e-04 9.12720e+02  -9.12712e+02 0.00000e+00 
1.78708e-04 9.23430e+02  -9.23422e+02 0.00000e+00 
1.79229e-04 9.34236e+02  -9.34228e+02 0.00000e+00 
1.79749e-04 9.45145e+02  -9.45137e+02 0.00000e+00 
1.80270e-04 9.56149e+02  -9.56141e+02 0.00000e+00 
1.80791e-04 9.67247e+02  -9.67239e+02 0.00000e+00 
1.81312e-04 9.78443e+02  -9.78434e+02 0.00000e+00 
1.81833e-04 9.89730e+02  -9.89722e+02 0.00000e+00 
1.82354e-04 1.00111e+03  -1.00110e+03 0.00000e+00 
1.82875e-04 1.01259e+03  -1.01259e+03 0.00000e+00 
1.83396e-04 1.02419e+03  -1.02418e+03 0.00000e+00 
1.83917e-04 1.03587e+03  -1.03586e+03 0.00000e+00 
1.84438e-04 1.04765e+03  -1.04764e+03 0.00000e+00 
1.84959e-04 1.05953e+03  -1.05952e+03 0.00000e+00 
1.85480e-04 1.07151e+03  -1.07150e+03 0.00000e+00 
1.86001e-04 1.08359e+03  -1.08359e+03 0.00000e+00 
1.86522e-04 1.09579e+03  -1.09578e+03 0.00000e+00 
1.87043e-04 1.10808e+03  -1.10807e+03 0.00000e+00 
1.87564e-04 1.12047e+03  -1.12046e+03 0.00000e+00 
1.88085e-04 1.13296e+03  -1.13295e+03 0.00000e+00 
1.88605e-04 1.14556e+03  -1.14555e+03 0.00000e+00 
1.89126e-04 1.15827e+03  -1.15826e+03 0.00000e+00 
1.89647e-04 1.17108e+03  -1.17107e+03 0.00000e+00 
1.90168e-04 1.18400e+03  -1.18399e+03 0.00000e+00 
1.90689e-04 1.19702e+03  -1.19701e+03 0.00000e+00 
1.91210e-04 1.21014e+03  -1.21013e+03 0.00000e+00 
1.91731e-04 1.22337e+03  -1.22337e+03 0.00000e+00 
1.92252e-04 1.23673e+03  -1.23672e+03 0.00000e+00 
1.92773e-04 1.25019e+03  -1.25018e+03 0.00000e+00 
1.93294e-04 1.26375e+03  -1.26374e+03 0.00000e+00 
1.93815e-04 1.27742e+03  -1.27741e+03 0.00000e+00 
1.94336e-04 1.29120e+03  -1.29119e+03 0.00000e+00 
1.94857e-04 1.30510e+03  -1.30509e+03 0.00000e+00 
1.95378e-04 1.31910e+03  -1.31909e+03 0.00000e+00 
1.95899e-04 1.33323e+03  -1.33322e+03 0.00000e+00 
1.96419e-04 1.34747e+03  -1.34746e+03 0.00000e+00 
1.96940e-04 1.36181e+03  -1.36180e+03 0.00000e+00 
1.97461e-04 1.37626e+03  -1.37625e+03 0.00000e+00 
1.97982e-04 1.39084e+03  -1.39083e+03 0.00000e+00 
1.98503e-04 1.40554e+03  -1.40553e+03 0.00000e+00 
1.99024e-04 1.42034e+03  -1.42033e+03 0.00000e+00 
1.99545e-04 1.43527e+03  -1.43526e+03 0.00000e+00 
2.00066e-04 1.45031e+03  -1.45030e+03 0.00000e+00 
2.00587e-04 1.46546e+03  -1.46545e+03 0.00000e+00 
2.01108e-04 1.48073e+03  -1.48072e+03 0.00000e+00 
2.01629e-04 1.49614e+03  -1.49613e+03 0.00000e+00 
2.02150e-04 1.51166e+03  -1.51165e+03 0.00000e+00 
2.02671e-04 1.52729e+03  -1.52728e+03 0.00000e+00 
2.03192e-04 1.54305e+03  -1.54304e+03 0.00000e+00 
2.03712e-04 1.55892e+03  -1.55891e+03 0.00000e+00 
2.04233e-04 1.57492e+03  -1.57491e+03 0.00000e+00 
2.04754e-04 1.59105e+03  -1.59104e+03 0.00000e+00 
2.05275e-04 1.60731e+03  -1.60730e+03 0.00000e+00 
2.05796e-04 1.62368e+03  -1.62367e+03 0.00000e+00 
2.06317e-04 1.64016e+03  -1.64015e+03 0.00000e+00 
2.06838e-04 1.65678e+03  -1.65677e+03 0.00000e+00 
2.07359e-04 1.67354e+03  -1.67353e+03 0.00000e+00 
2.07880e-04 1.69041e+03  -1.69040e+03 0.00000e+00 
2.08401e-04 1.70742e+03  -1.70741e+03 0.00000e+00 
2.08922e-04 1.72455e+03  -1.72454e+03 0.00000e+00 
2.09443e-04 1.74180e+03  -1.74179e+03 0.00000e+00 
2.09963e-04 1.75918e+03  -1.75917e+03 0.00000e+00 
2.10484e-04 1.77670e+03  -1.77669e+03 0.00000e+00 
2.11005e-04 1.79436e+03  -1.79435e+03 0.00000e+00 
2.11526e-04 1.81213e+03  -1.81212e+03 0.00000e+00 
2.12047e-04 1.83004e+03  -1.83003e+03 0.00000e+00 
2.12568e-04 1.84808e+03  -1.84807e+03 0.00000e+00 
2.13089e-04 1.86625e+03  -1.86624e+03 0.00000e+00 
2.13610e-04 1.88456e+03  -1.88455e+03 0.00000e+00 
2.14131e-04 1.90301e+03  -1.90300e+03 0.00000e+00 
