9.32588e-05 1.14511e+02  -1.14510e+02 0.00000e+00 
9.35991e-05 1.15903e+02  -1.15902e+02 0.00000e+00 
9.39395e-05 1.17309e+02  -1.17308e+02 0.00000e+00 
9.42798e-05 1.18729e+02  -1.18727e+02 0.00000e+00 
9.46202e-05 1.20161e+02  -1.20160e+02 0.00000e+00 
9.49605e-05 1.21607e+02  -1.21606e+02 0.00000e+00 
9.53008e-05 1.23067e+02  -1.23066e+02 0.00000e+00 
9.56412e-05 1.24540e+02  -1.24539e+02 0.00000e+00 
9.59815e-05 1.26027e+02  -1.26026e+02 0.00000e+00 
9.63218e-05 1.27528e+02  -1.27527e+02 0.00000e+00 
9.66622e-05 1.29042e+02  -1.29041e+02 0.00000e+00 
9.70025e-05 1.30571e+02  -1.30570e+02 0.00000e+00 
9.73428e-05 1.32113e+02  -1.32112e+02 0.00000e+00 
9.76832e-05 1.33670e+02  -1.33669e+02 0.00000e+00 
9.80235e-05 1.35241e+02  -1.35240e+02 0.00000e+00 
9.83638e-05 1.36827e+02  -1.36826e+02 0.00000e+00 
9.87042e-05 1.38427e+02  -1.38426e+02 0.00000e+00 
9.90445e-05 1.40042e+02  -1.40040e+02 0.00000e+00 
9.93848e-05 1.41671e+02  -1.41669e+02 0.00000e+00 
9.97252e-05 1.43314e+02  -1.43313e+02 0.00000e+00 
1.00066e-04 1.44973e+02  -1.44971e+02 0.00000e+00 
1.00406e-04 1.46646e+02  -1.46645e+02 0.00000e+00 
1.00746e-04 1.48335e+02  -1.48333e+02 0.00000e+00 
1.01087e-04 1.50038e+02  -1.50037e+02 0.00000e+00 
1.01427e-04 1.51757e+02  -1.51756e+02 0.00000e+00 
1.01767e-04 1.53492e+02  -1.53490e+02 0.00000e+00 
1.02108e-04 1.55241e+02  -1.55240e+02 0.00000e+00 
1.02448e-04 1.57006e+02  -1.57005e+02 0.00000e+00 
1.02788e-04 1.58786e+02  -1.58785e+02 0.00000e+00 
1.03129e-04 1.60583e+02  -1.60581e+02 0.00000e+00 
1.03469e-04 1.62394e+02  -1.62393e+02 0.00000e+00 
1.03809e-04 1.64222e+02  -1.64221e+02 0.00000e+00 
1.04149e-04 1.66066e+02  -1.66065e+02 0.00000e+00 
1.04490e-04 1.67926e+02  -1.67925e+02 0.00000e+00 
1.04830e-04 1.69802e+02  -1.69801e+02 0.00000e+00 
1.05170e-04 1.71695e+02  -1.71693e+02 0.00000e+00 
1.05511e-04 1.73603e+02  -1.73602e+02 0.00000e+00 
1.05851e-04 1.75528e+02  -1.75527e+02 0.00000e+00 
1.06191e-04 1.77470e+02  -1.77469e+02 0.00000e+00 
1.06532e-04 1.79428e+02  -1.79427e+02 0.00000e+00 
1.06872e-04 1.81403e+02  -1.81402e+02 0.00000e+00 
1.07212e-04 1.83395e+02  -1.83394e+02 0.00000e+00 
1.07553e-04 1.85405e+02  -1.85403e+02 0.00000e+00 
1.07893e-04 1.87431e+02  -1.87429e+02 0.00000e+00 
1.08233e-04 1.89474e+02  -1.89472e+02 0.00000e+00 
1.08574e-04 1.91534e+02  -1.91533e+02 0.00000e+00 
1.08914e-04 1.93612e+02  -1.93610e+02 0.00000e+00 
1.09254e-04 1.95707e+02  -1.95705e+02 0.00000e+00 
1.09595e-04 1.97820e+02  -1.97818e+02 0.00000e+00 
1.09935e-04 1.99950e+02  -1.99949e+02 0.00000e+00 
1.10275e-04 2.02099e+02  -2.02097e+02 0.00000e+00 
1.10616e-04 2.04265e+02  -2.04263e+02 0.00000e+00 
1.10956e-04 2.06449e+02  -2.06448e+02 0.00000e+00 
1.11296e-04 2.08651e+02  -2.08650e+02 0.00000e+00 
1.11637e-04 2.10872e+02  -2.10870e+02 0.00000e+00 
1.11977e-04 2.13110e+02  -2.13109e+02 0.00000e+00 
1.12317e-04 2.15367e+02  -2.15366e+02 0.00000e+00 
1.12658e-04 2.17643e+02  -2.17641e+02 0.00000e+00 
1.12998e-04 2.19937e+02  -2.19936e+02 0.00000e+00 
1.13338e-04 2.22250e+02  -2.22249e+02 0.00000e+00 
1.13679e-04 2.24582e+02  -2.24581e+02 0.00000e+00 
1.14019e-04 2.26933e+02  -2.26931e+02 0.00000e+00 
1.14359e-04 2.29303e+02  -2.29301e+02 0.00000e+00 
1.14700e-04 2.31692e+02  -2.31690e+02 0.00000e+00 
1.15040e-04 2.34100e+02  -2.34098e+02 0.00000e+00 
1.15380e-04 2.36527e+02  -2.36525e+02 0.00000e+00 
1.15721e-04 2.38974e+02  -2.38972e+02 0.00000e+00 
1.16061e-04 2.41441e+02  -2.41439e+02 0.00000e+00 
1.16401e-04 2.43927e+02  -2.43925e+02 0.00000e+00 
1.16742e-04 2.46433e+02  -2.46432e+02 0.00000e+00 
1.17082e-04 2.48959e+02  -2.48958e+02 0.00000e+00 
1.17422e-04 2.51506e+02  -2.51504e+02 0.00000e+00 
1.17763e-04 2.54072e+02  -2.54070e+02 0.00000e+00 
1.18103e-04 2.56658e+02  -2.56656e+02 0.00000e+00 
1.18443e-04 2.59264e+02  -2.59263e+02 0.00000e+00 
1.18784e-04 2.61891e+02  -2.61890e+02 0.00000e+00 
1.19124e-04 2.64539e+02  -2.64538e+02 0.00000e+00 
1.19464e-04 2.67208e+02  -2.67206e+02 0.00000e+00 
1.19805e-04 2.69897e+02  -2.69895e+02 0.00000e+00 
1.20145e-04 2.72608e+02  -2.72606e+02 0.00000e+00 
1.20485e-04 2.75339e+02  -2.75337e+02 0.00000e+00 
1.20826e-04 2.78091e+02  -2.78089e+02 0.00000e+00 
1.21166e-04 2.80865e+02  -2.80863e+02 0.00000e+00 
1.21506e-04 2.83659e+02  -2.83658e+02 0.00000e+00 
1.21846e-04 2.86476e+02  -2.86474e+02 0.00000e+00 
1.22187e-04 2.89314e+02  -2.89312e+02 0.00000e+00 
1.22527e-04 2.92174e+02  -2.92172e+02 0.00000e+00 
1.22867e-04 2.95055e+02  -2.95054e+02 0.00000e+00 
1.23208e-04 2.97959e+02  -2.97957e+02 0.00000e+00 
