8.65568e-03 2.29369e+09  -2.29367e+09 0.00000e+00 
8.68288e-03 2.32262e+09  -2.32259e+09 0.00000e+00 
8.71009e-03 2.35182e+09  -2.35180e+09 0.00000e+00 
8.73729e-03 2.38129e+09  -2.38127e+09 0.00000e+00 
8.76450e-03 2.41105e+09  -2.41102e+09 0.00000e+00 
8.79170e-03 2.44108e+09  -2.44105e+09 0.00000e+00 
8.81891e-03 2.47139e+09  -2.47136e+09 0.00000e+00 
8.84611e-03 2.50198e+09  -2.50196e+09 0.00000e+00 
8.87331e-03 2.53285e+09  -2.53283e+09 0.00000e+00 
8.90052e-03 2.56401e+09  -2.56399e+09 0.00000e+00 
8.92772e-03 2.59546e+09  -2.59543e+09 0.00000e+00 
8.95493e-03 2.62719e+09  -2.62717e+09 0.00000e+00 
8.98213e-03 2.65921e+09  -2.65919e+09 0.00000e+00 
9.00934e-03 2.69153e+09  -2.69150e+09 0.00000e+00 
9.03654e-03 2.72414e+09  -2.72411e+09 0.00000e+00 
9.06374e-03 2.75704e+09  -2.75701e+09 0.00000e+00 
9.09095e-03 2.79023e+09  -2.79021e+09 0.00000e+00 
9.11815e-03 2.82373e+09  -2.82371e+09 0.00000e+00 
9.14535e-03 2.85753e+09  -2.85750e+09 0.00000e+00 
9.17256e-03 2.89163e+09  -2.89160e+09 0.00000e+00 
9.19976e-03 2.92603e+09  -2.92600e+09 0.00000e+00 
9.22696e-03 2.96073e+09  -2.96071e+09 0.00000e+00 
9.25417e-03 2.99575e+09  -2.99572e+09 0.00000e+00 
9.28137e-03 3.03107e+09  -3.03105e+09 0.00000e+00 
9.30857e-03 3.06671e+09  -3.06668e+09 0.00000e+00 
9.33578e-03 3.10266e+09  -3.10263e+09 0.00000e+00 
9.36298e-03 3.13892e+09  -3.13890e+09 0.00000e+00 
9.39018e-03 3.17550e+09  -3.17548e+09 0.00000e+00 
9.41738e-03 3.21240e+09  -3.21238e+09 0.00000e+00 
9.44459e-03 3.24962e+09  -3.24960e+09 0.00000e+00 
9.47179e-03 3.28717e+09  -3.28714e+09 0.00000e+00 
9.49899e-03 3.32503e+09  -3.32501e+09 0.00000e+00 
9.52619e-03 3.36323e+09  -3.36320e+09 0.00000e+00 
9.55339e-03 3.40175e+09  -3.40172e+09 0.00000e+00 
9.58060e-03 3.44060e+09  -3.44057e+09 0.00000e+00 
9.60780e-03 3.47978e+09  -3.47975e+09 0.00000e+00 
9.63500e-03 3.51929e+09  -3.51926e+09 0.00000e+00 
9.66220e-03 3.55914e+09  -3.55911e+09 0.00000e+00 
9.68940e-03 3.59933e+09  -3.59930e+09 0.00000e+00 
9.71661e-03 3.63985e+09  -3.63982e+09 0.00000e+00 
9.74381e-03 3.68072e+09  -3.68069e+09 0.00000e+00 
9.77101e-03 3.72192e+09  -3.72189e+09 0.00000e+00 
