1.77168e-04 3.57250e-01  -3.57246e-01 0.00000e+00 
1.77689e-04 3.61471e-01  -3.61468e-01 0.00000e+00 
1.78210e-04 3.65729e-01  -3.65726e-01 0.00000e+00 
1.78731e-04 3.70025e-01  -3.70022e-01 0.00000e+00 
1.79252e-04 3.74359e-01  -3.74356e-01 0.00000e+00 
1.79773e-04 3.78731e-01  -3.78728e-01 0.00000e+00 
1.80294e-04 3.83142e-01  -3.83139e-01 0.00000e+00 
1.80815e-04 3.87591e-01  -3.87587e-01 0.00000e+00 
1.81336e-04 3.92077e-01  -3.92074e-01 0.00000e+00 
1.81858e-04 3.96602e-01  -3.96599e-01 0.00000e+00 
1.82379e-04 4.01168e-01  -4.01164e-01 0.00000e+00 
1.82900e-04 4.05773e-01  -4.05769e-01 0.00000e+00 
1.83421e-04 4.10417e-01  -4.10414e-01 0.00000e+00 
1.83942e-04 4.15101e-01  -4.15097e-01 0.00000e+00 
1.84463e-04 4.19824e-01  -4.19820e-01 0.00000e+00 
1.84984e-04 4.24587e-01  -4.24583e-01 0.00000e+00 
1.85505e-04 4.29391e-01  -4.29388e-01 0.00000e+00 
1.86026e-04 4.34237e-01  -4.34234e-01 0.00000e+00 
1.86547e-04 4.39123e-01  -4.39120e-01 0.00000e+00 
1.87068e-04 4.44050e-01  -4.44046e-01 0.00000e+00 
1.87589e-04 4.49017e-01  -4.49014e-01 0.00000e+00 
1.88111e-04 4.54027e-01  -4.54023e-01 0.00000e+00 
1.88632e-04 4.59079e-01  -4.59075e-01 0.00000e+00 
1.89153e-04 4.64173e-01  -4.64170e-01 0.00000e+00 
1.89674e-04 4.69310e-01  -4.69306e-01 0.00000e+00 
1.90195e-04 4.74487e-01  -4.74484e-01 0.00000e+00 
1.90716e-04 4.79708e-01  -4.79704e-01 0.00000e+00 
1.91237e-04 4.84972e-01  -4.84968e-01 0.00000e+00 
1.91758e-04 4.90280e-01  -4.90276e-01 0.00000e+00 
1.92279e-04 4.95631e-01  -4.95628e-01 0.00000e+00 
1.92800e-04 5.01026e-01  -5.01022e-01 0.00000e+00 
1.93321e-04 5.06464e-01  -5.06460e-01 0.00000e+00 
1.93842e-04 5.11945e-01  -5.11942e-01 0.00000e+00 
1.94363e-04 5.17472e-01  -5.17468e-01 0.00000e+00 
1.94885e-04 5.23045e-01  -5.23041e-01 0.00000e+00 
1.95406e-04 5.28662e-01  -5.28658e-01 0.00000e+00 
1.95927e-04 5.34323e-01  -5.34319e-01 0.00000e+00 
1.96448e-04 5.40029e-01  -5.40026e-01 0.00000e+00 
1.96969e-04 5.45781e-01  -5.45777e-01 0.00000e+00 
1.97490e-04 5.51580e-01  -5.51576e-01 0.00000e+00 
1.98011e-04 5.57425e-01  -5.57421e-01 0.00000e+00 
1.98532e-04 5.63316e-01  -5.63312e-01 0.00000e+00 
1.99053e-04 5.69253e-01  -5.69249e-01 0.00000e+00 
1.99574e-04 5.75236e-01  -5.75233e-01 0.00000e+00 
2.00095e-04 5.81267e-01  -5.81263e-01 0.00000e+00 
2.00616e-04 5.87346e-01  -5.87342e-01 0.00000e+00 
2.01138e-04 5.93473e-01  -5.93469e-01 0.00000e+00 
2.01659e-04 5.99647e-01  -5.99643e-01 0.00000e+00 
2.02180e-04 6.05869e-01  -6.05865e-01 0.00000e+00 
2.02701e-04 6.12138e-01  -6.12134e-01 0.00000e+00 
2.03222e-04 6.18456e-01  -6.18452e-01 0.00000e+00 
2.03743e-04 6.24824e-01  -6.24820e-01 0.00000e+00 
2.04264e-04 6.31241e-01  -6.31237e-01 0.00000e+00 
2.04785e-04 6.37707e-01  -6.37703e-01 0.00000e+00 
2.05306e-04 6.44222e-01  -6.44218e-01 0.00000e+00 
2.05827e-04 6.50787e-01  -6.50783e-01 0.00000e+00 
2.06348e-04 6.57402e-01  -6.57397e-01 0.00000e+00 
2.06869e-04 6.64068e-01  -6.64063e-01 0.00000e+00 
2.07390e-04 6.70784e-01  -6.70780e-01 0.00000e+00 
2.07912e-04 6.77552e-01  -6.77547e-01 0.00000e+00 
2.08433e-04 6.84369e-01  -6.84365e-01 0.00000e+00 
2.08954e-04 6.91237e-01  -6.91233e-01 0.00000e+00 
2.09475e-04 6.98158e-01  -6.98154e-01 0.00000e+00 
2.09996e-04 7.05131e-01  -7.05127e-01 0.00000e+00 
2.10517e-04 7.12157e-01  -7.12153e-01 0.00000e+00 
2.11038e-04 7.19234e-01  -7.19230e-01 0.00000e+00 
2.11559e-04 7.26363e-01  -7.26359e-01 0.00000e+00 
2.12080e-04 7.33545e-01  -7.33541e-01 0.00000e+00 
2.12601e-04 7.40781e-01  -7.40776e-01 0.00000e+00 
2.13122e-04 7.48071e-01  -7.48066e-01 0.00000e+00 
2.13643e-04 7.55414e-01  -7.55410e-01 0.00000e+00 
2.14165e-04 7.62811e-01  -7.62807e-01 0.00000e+00 
