1.02703e-04 6.08378e-07  -5.88467e-07 -2.02897e-16 
1.03109e-04 5.88185e-07  -5.82764e-07 1.83771e-16 
1.03515e-04 5.91156e-07  -5.85059e-07 -2.05257e-16 
1.03921e-04 6.30724e-07  -6.06817e-07 1.86384e-16 
1.04326e-04 8.86890e-07  -8.49503e-07 -2.07345e-16 
1.04732e-04 1.43282e-06  -1.40308e-06 1.88250e-16 
1.05138e-04 2.03742e-06  -2.02580e-06 -2.08369e-16 
1.05544e-04 2.33398e-06  -2.32973e-06 1.89012e-16 
1.05950e-04 2.14322e-06  -2.13019e-06 -2.08581e-16 
1.06356e-04 1.59186e-06  -1.56436e-06 1.89552e-16 
1.06762e-04 9.81289e-07  -9.46508e-07 -2.09294e-16 
1.07168e-04 5.72421e-07  -5.45062e-07 1.91223e-16 
1.07574e-04 4.28669e-07  -4.18403e-07 -2.11423e-16 
1.07980e-04 4.38163e-07  -4.36178e-07 1.94117e-16 
1.08386e-04 5.20696e-07  -5.06398e-07 -2.14139e-16 
1.08791e-04 7.63907e-07  -7.30591e-07 1.96746e-16 
1.09197e-04 1.26545e-06  -1.22957e-06 -2.15830e-16 
1.09603e-04 1.88737e-06  -1.86687e-06 1.97969e-16 
1.10009e-04 2.29261e-06  -2.28643e-06 -2.16231e-16 
1.10415e-04 2.23509e-06  -2.22885e-06 1.98448e-16 
1.10821e-04 1.75740e-06  -1.73940e-06 -2.16619e-16 
1.11227e-04 1.13855e-06  -1.10725e-06 1.99563e-16 
1.11633e-04 6.97016e-07  -6.62573e-07 -2.18001e-16 
1.12039e-04 5.75982e-07  -5.54555e-07 2.01685e-16 
1.12445e-04 6.51124e-07  -6.47202e-07 -2.20129e-16 
1.12850e-04 7.00308e-07  -6.96943e-07 2.04176e-16 
1.13256e-04 6.95848e-07  -6.73793e-07 -2.22254e-16 
1.13662e-04 8.39190e-07  -8.02191e-07 2.06368e-16 
1.14068e-04 1.26542e-06  -1.23448e-06 -2.23855e-16 
1.14474e-04 1.81627e-06  -1.80269e-06 2.07876e-16 
1.14880e-04 2.16823e-06  -2.16379e-06 -2.24692e-16 
1.15286e-04 2.11783e-06  -2.10773e-06 2.08694e-16 
1.15692e-04 1.71489e-06  -1.69101e-06 -2.25113e-16 
1.16098e-04 1.19417e-06  -1.16022e-06 2.09568e-16 
1.16504e-04 7.98605e-07  -7.69097e-07 -2.26253e-16 
1.16909e-04 6.04682e-07  -5.92100e-07 2.11379e-16 
1.17315e-04 5.16845e-07  -5.14854e-07 -2.28571e-16 
