1.72237e-06 1.28863e-05  6.17121e-16 0.00000e+00 
4.94103e-04 1.31521e+04  -1.31519e+04 0.00000e+00 
4.95824e-04 1.33361e+04  -1.33359e+04 0.00000e+00 
4.97544e-04 1.35220e+04  -1.35218e+04 0.00000e+00 
4.99265e-04 1.37098e+04  -1.37097e+04 0.00000e+00 
5.00986e-04 1.38996e+04  -1.38994e+04 0.00000e+00 
5.02707e-04 1.40914e+04  -1.40912e+04 0.00000e+00 
5.04428e-04 1.42851e+04  -1.42849e+04 0.00000e+00 
5.06149e-04 1.44808e+04  -1.44806e+04 0.00000e+00 
5.07869e-04 1.46785e+04  -1.46783e+04 0.00000e+00 
5.09590e-04 1.48782e+04  -1.48781e+04 0.00000e+00 
5.11311e-04 1.50800e+04  -1.50798e+04 0.00000e+00 
5.13032e-04 1.52838e+04  -1.52836e+04 0.00000e+00 
5.14753e-04 1.54896e+04  -1.54895e+04 0.00000e+00 
5.16473e-04 1.56976e+04  -1.56974e+04 0.00000e+00 
5.18194e-04 1.59076e+04  -1.59074e+04 0.00000e+00 
5.19915e-04 1.61197e+04  -1.61195e+04 0.00000e+00 
5.21636e-04 1.63339e+04  -1.63337e+04 0.00000e+00 
5.23356e-04 1.65503e+04  -1.65501e+04 0.00000e+00 
5.25077e-04 1.67688e+04  -1.67686e+04 0.00000e+00 
5.26798e-04 1.69894e+04  -1.69892e+04 0.00000e+00 
5.28519e-04 1.72122e+04  -1.72120e+04 0.00000e+00 
5.30239e-04 1.74372e+04  -1.74370e+04 0.00000e+00 
5.31960e-04 1.76644e+04  -1.76642e+04 0.00000e+00 
5.33681e-04 1.78938e+04  -1.78936e+04 0.00000e+00 
5.35402e-04 1.81254e+04  -1.81252e+04 0.00000e+00 
5.37122e-04 1.83593e+04  -1.83591e+04 0.00000e+00 
5.38843e-04 1.85954e+04  -1.85952e+04 0.00000e+00 
5.40564e-04 1.88338e+04  -1.88336e+04 0.00000e+00 
5.42284e-04 1.90744e+04  -1.90742e+04 0.00000e+00 
5.44005e-04 1.93174e+04  -1.93172e+04 0.00000e+00 
5.45726e-04 1.95627e+04  -1.95625e+04 0.00000e+00 
5.47446e-04 1.98103e+04  -1.98101e+04 0.00000e+00 
5.49167e-04 2.00602e+04  -2.00600e+04 0.00000e+00 
5.50888e-04 2.03125e+04  -2.03123e+04 0.00000e+00 
5.52609e-04 2.05672e+04  -2.05670e+04 0.00000e+00 
5.54329e-04 2.08242e+04  -2.08240e+04 0.00000e+00 
5.56050e-04 2.10837e+04  -2.10835e+04 0.00000e+00 
5.57770e-04 2.13455e+04  -2.13453e+04 0.00000e+00 
5.59491e-04 2.16098e+04  -2.16096e+04 0.00000e+00 
5.61212e-04 2.18765e+04  -2.18763e+04 0.00000e+00 
5.62932e-04 2.21457e+04  -2.21455e+04 0.00000e+00 
5.64653e-04 2.24174e+04  -2.24172e+04 0.00000e+00 
5.66374e-04 2.26916e+04  -2.26914e+04 0.00000e+00 
5.68094e-04 2.29682e+04  -2.29680e+04 0.00000e+00 
5.69815e-04 2.32474e+04  -2.32472e+04 0.00000e+00 
5.71536e-04 2.35291e+04  -2.35289e+04 0.00000e+00 
5.73256e-04 2.38134e+04  -2.38132e+04 0.00000e+00 
5.74977e-04 2.41002e+04  -2.41000e+04 0.00000e+00 
5.76697e-04 2.43896e+04  -2.43894e+04 0.00000e+00 
5.78418e-04 2.46816e+04  -2.46814e+04 0.00000e+00 
5.80139e-04 2.49762e+04  -2.49760e+04 0.00000e+00 
5.81859e-04 2.52735e+04  -2.52733e+04 0.00000e+00 
5.83580e-04 2.55734e+04  -2.55731e+04 0.00000e+00 
5.85300e-04 2.58759e+04  -2.58757e+04 0.00000e+00 
5.87021e-04 2.61811e+04  -2.61809e+04 0.00000e+00 
5.88741e-04 2.64890e+04  -2.64888e+04 0.00000e+00 
5.90462e-04 2.67996e+04  -2.67994e+04 0.00000e+00 
5.92182e-04 2.71130e+04  -2.71128e+04 0.00000e+00 
5.93903e-04 2.74290e+04  -2.74288e+04 0.00000e+00 
5.95624e-04 2.77479e+04  -2.77476e+04 0.00000e+00 
5.97344e-04 2.80695e+04  -2.80692e+04 0.00000e+00 
5.99065e-04 2.83938e+04  -2.83936e+04 0.00000e+00 
6.00785e-04 2.87210e+04  -2.87208e+04 0.00000e+00 
6.02506e-04 2.90510e+04  -2.90507e+04 0.00000e+00 
6.04226e-04 2.93838e+04  -2.93836e+04 0.00000e+00 
6.05947e-04 2.97195e+04  -2.97192e+04 0.00000e+00 
6.07667e-04 3.00580e+04  -3.00578e+04 0.00000e+00 
6.09388e-04 3.03994e+04  -3.03992e+04 0.00000e+00 
6.11108e-04 3.07437e+04  -3.07435e+04 0.00000e+00 
6.12829e-04 3.10909e+04  -3.10907e+04 0.00000e+00 
6.14549e-04 3.14411e+04  -3.14408e+04 0.00000e+00 
6.16270e-04 3.17942e+04  -3.17939e+04 0.00000e+00 
6.17990e-04 3.21502e+04  -3.21500e+04 0.00000e+00 
6.19711e-04 3.25093e+04  -3.25090e+04 0.00000e+00 
6.21431e-04 3.28713e+04  -3.28711e+04 0.00000e+00 
6.23151e-04 3.32364e+04  -3.32361e+04 0.00000e+00 
6.24872e-04 3.36044e+04  -3.36042e+04 0.00000e+00 
6.26592e-04 3.39756e+04  -3.39753e+04 0.00000e+00 
6.28313e-04 3.43497e+04  -3.43495e+04 0.00000e+00 
6.30033e-04 3.47270e+04  -3.47267e+04 0.00000e+00 
6.31754e-04 3.51073e+04  -3.51071e+04 0.00000e+00 
6.33474e-04 3.54908e+04  -3.54905e+04 0.00000e+00 
6.35194e-04 3.58774e+04  -3.58771e+04 0.00000e+00 
6.36915e-04 3.62671e+04  -3.62669e+04 0.00000e+00 
6.38635e-04 3.66600e+04  -3.66598e+04 0.00000e+00 
6.40356e-04 3.70561e+04  -3.70558e+04 0.00000e+00 
6.42076e-04 3.74554e+04  -3.74551e+04 0.00000e+00 
6.43796e-04 3.78579e+04  -3.78576e+04 0.00000e+00 
6.45517e-04 3.82636e+04  -3.82633e+04 0.00000e+00 
6.47237e-04 3.86726e+04  -3.86723e+04 0.00000e+00 
6.48958e-04 3.90848e+04  -3.90845e+04 0.00000e+00 
6.50678e-04 3.95003e+04  -3.95001e+04 0.00000e+00 
6.52398e-04 3.99192e+04  -3.99189e+04 0.00000e+00 
6.54119e-04 4.03413e+04  -4.03410e+04 0.00000e+00 
6.55839e-04 4.07668e+04  -4.07665e+04 0.00000e+00 
6.57559e-04 4.11956e+04  -4.11953e+04 0.00000e+00 
6.59280e-04 4.16278e+04  -4.16275e+04 0.00000e+00 
6.61000e-04 4.20634e+04  -4.20631e+04 0.00000e+00 
6.62720e-04 4.25023e+04  -4.25021e+04 0.00000e+00 
6.64441e-04 4.29448e+04  -4.29445e+04 0.00000e+00 
6.66161e-04 4.33906e+04  -4.33903e+04 0.00000e+00 
6.67881e-04 4.38399e+04  -4.38396e+04 0.00000e+00 
6.69602e-04 4.42927e+04  -4.42924e+04 0.00000e+00 
6.71322e-04 4.47490e+04  -4.47487e+04 0.00000e+00 
6.73042e-04 4.52088e+04  -4.52085e+04 0.00000e+00 
6.74763e-04 4.56721e+04  -4.56718e+04 0.00000e+00 
6.76483e-04 4.61389e+04  -4.61386e+04 0.00000e+00 
6.78203e-04 4.66094e+04  -4.66091e+04 0.00000e+00 
6.79923e-04 4.70834e+04  -4.70831e+04 0.00000e+00 
6.81644e-04 4.75610e+04  -4.75607e+04 0.00000e+00 
6.83364e-04 4.80422e+04  -4.80419e+04 0.00000e+00 
6.85084e-04 4.85271e+04  -4.85268e+04 0.00000e+00 
6.86805e-04 4.90156e+04  -4.90153e+04 0.00000e+00 
6.88525e-04 4.95078e+04  -4.95075e+04 0.00000e+00 
6.90245e-04 5.00037e+04  -5.00034e+04 0.00000e+00 
6.91965e-04 5.05033e+04  -5.05030e+04 0.00000e+00 
6.93686e-04 5.10067e+04  -5.10063e+04 0.00000e+00 
6.95406e-04 5.15137e+04  -5.15134e+04 0.00000e+00 
6.97126e-04 5.20246e+04  -5.20243e+04 0.00000e+00 
6.98846e-04 5.25392e+04  -5.25389e+04 0.00000e+00 
7.00566e-04 5.30577e+04  -5.30573e+04 0.00000e+00 
