Global Internal Force:
-4.7842E+04  4.7842E+04 -4.1441E+06 
 2.0472E+05 -2.0472E+05  3.7507E+06 
 2.0472E+05  2.0472E+05  3.7507E+06 
 1.0497E+06 -1.0497E+06  5.0902E+05 
 1.0497E+06  1.0497E+06  5.0902E+05 
 1.1869E+05 -1.1869E+05 -2.6231E+05 
 1.1869E+05  1.1869E+05 -2.6231E+05 

Global Reaction Force:
 0.0000E+00  0.0000E+00  3.7507E+06 
 0.0000E+00  0.0000E+00  3.7507E+06 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00 -4.1441E+06 
 0.0000E+00  0.0000E+00 -4.1441E+06 
 0.0000E+00  0.0000E+00  3.7507E+06 
 0.0000E+00  0.0000E+00  3.7507E+06 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 

Global Residual Force:
-2.0472E+05 -2.0472E+05  3.7507E+06 
-2.0472E+05  2.0472E+05  3.7507E+06 
-1.0497E+06 -1.0497E+06  5.0902E+05 
-1.0497E+06  1.0497E+06  5.0902E+05 
-1.1869E+05 -1.1869E+05 -2.6231E+05 
-1.1869E+05  1.1869E+05 -2.6231E+05 
 6.7816E+05  6.7816E+05  1.4671E+05 
 6.7816E+05 -6.7816E+05  1.4671E+05 
-4.7842E+04 -4.7842E+04 -4.1441E+06 
-4.7842E+04  4.7842E+04 -4.1441E+06 
 2.0472E+05 -2.0472E+05  3.7507E+06 
 2.0472E+05  2.0472E+05  3.7507E+06 
 1.0497E+06 -1.0497E+06  5.0902E+05 
 1.0497E+06  1.0497E+06  5.0902E+05 
 1.1869E+05 -1.1869E+05 -2.6231E+05 
